CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,Hombres,Mujeres,Total,Poblacion,Anio,TASA_100K
21197,21,197,Xicotepec,0,1,1,81455,2015,1.227671721
21132,21,132,San Martín Texmelucan,2,1,3,152051,2015,1.97302221
21174,21,174,Teziutlán,3,0,3,97590,2015,3.07408546
21067,21,067,Guadalupe Victoria,2,0,2,16923,2015,11.81823554
21094,21,094,Libres,1,0,1,33784,2015,2.959981056
21208,21,208,Zacatlán,1,0,1,82457,2015,1.212753314
21074,21,074,Huejotzingo,5,0,5,73771,2015,6.777731087
21194,21,194,Venustiano Carranza,4,0,4,29090,2015,13.7504297
21085,21,085,Izúcar de Matamoros,1,2,3,77601,2015,3.865929563
21156,21,156,Tehuacán,13,16,29,319375,2015,9.080234834
21154,21,154,Tecamachalco,1,1,2,77061,2015,2.595346544
21172,21,172,Tetela de Ocampo,1,1,2,28139,2015,7.107573119
21019,21,019,Atlixco,0,1,1,134364,2015,0.744246971
21205,21,205,Yehualtepec,1,0,1,25057,2015,3.990900746
21114,21,114,Puebla,17,6,23,1576259,2015,1.459151066
21010,21,010,Ajalpan,1,3,4,65854,2015,6.074042579
21047,21,047,Chiautla,0,1,1,20155,2015,4.961548003
21164,21,164,Tepeaca,1,1,2,80507,2015,2.484256027
21045,21,045,Chalchicomula de Sesma,1,3,4,46778,2015,8.551028261
21071,21,071,Huauchinango,7,1,8,103509,2015,7.72879653
21197,21,197,Xicotepec,0,1,1,81455,2016,1.227671721
21132,21,132,San Martín Texmelucan,2,1,3,152051,2016,1.97302221
21174,21,174,Teziutlán,3,0,3,97590,2016,3.07408546
21067,21,067,Guadalupe Victoria,2,0,2,16923,2016,11.81823554
21094,21,094,Libres,1,0,1,33784,2016,2.959981056
21208,21,208,Zacatlán,1,0,1,82457,2016,1.212753314
21074,21,074,Huejotzingo,5,0,5,73771,2016,6.777731087
21194,21,194,Venustiano Carranza,4,0,4,29090,2016,13.7504297
21085,21,085,Izúcar de Matamoros,1,2,3,77601,2016,3.865929563
21156,21,156,Tehuacán,13,16,29,319375,2016,9.080234834
21154,21,154,Tecamachalco,1,1,2,77061,2016,2.595346544
21172,21,172,Tetela de Ocampo,1,1,2,28139,2016,7.107573119
21019,21,019,Atlixco,0,1,1,134364,2016,0.744246971
21205,21,205,Yehualtepec,1,0,1,25057,2016,3.990900746
21114,21,114,Puebla,17,6,23,1576259,2016,1.459151066
21010,21,010,Ajalpan,1,1,1,65854,2016,1.518510645
21047,21,047,Chiautla,0,1,1,20155,2016,4.961548003
21164,21,164,Tepeaca,1,1,2,80507,2016,2.484256027
21045,21,045,Chalchicomula de Sesma,1,3,4,46778,2016,8.551028261
21071,21,071,Huauchinango,7,1,8,103509,2016,7.72879653
21197,21,197,Xicotepec,2,2,4,81455,2017,4.910686882
21191,21,191,Tulcingo,1,0,1,9150,2017,10.92896175
21216,21,216,Zoquiapan,1,0,1,2442,2017,40.95004095
21132,21,132,San Martín Texmelucan,3,2,5,152051,2017,3.288370349
21143,21,143,San Salvador el Verde,1,3,4,31355,2017,12.75713602
21174,21,174,Teziutlán,4,2,6,97590,2017,6.148170919
21142,21,142,San Salvador el Seco,1,0,1,30303,2017,3.3000033
21110,21,110,Palmar de Bravo,2,0,2,46233,2017,4.32591439
21108,21,108,Oriental,1,0,1,18239,2017,5.48275673
21064,21,064,Francisco Z. Mena,0,1,1,16677,2017,5.996282305
21063,21,063,Esperanza,2,0,2,14974,2017,13.35648457
21207,21,207,Zacapoaxtla,1,1,2,55299,2017,3.61670193
21051,21,051,Chietla,0,1,1,34415,2017,2.90570972
21094,21,094,Libres,0,1,1,33784,2017,2.959981056
21208,21,208,Zacatlán,2,0,2,82457,2017,2.425506628
21169,21,169,Tepexi de Rodríguez,1,1,2,20598,2017,9.709680552
21156,21,156,Tehuacán,7,5,12,319375,2017,3.757338552
21154,21,154,Tecamachalco,1,6,7,77061,2017,9.083712903
21153,21,153,Tecali de Herrera,1,0,1,21992,2017,4.547108039
21186,21,186,Tlatlauquitepec,1,0,1,53498,2017,1.869228756
21117,21,117,Rafael Lara Grajales,1,0,1,14159,2017,7.062645667
21019,21,019,Atlixco,2,6,8,134364,2017,5.953975767
21119,21,119,San Andrés Cholula,1,1,2,137290,2017,1.45677034
21004,21,004,Acatzingo,3,1,4,59077,2017,6.770824517
