CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,ANIO,TIPO_DE_DELITO,ID_Categoria,CATEGORIA,INCIDENCIA,POBLACION,TASA
21034,21,034,Coronango,2015,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,40949,0
21034,21,034,Coronango,2016,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,40949,0
21034,21,034,Coronango,2017,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,40949,0
21034,21,034,Coronango,2018,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,2,40949,0.82
21034,21,034,Coronango,2019,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,3,40949,1.23
21034,21,034,Coronango,2020,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,9,46836,4.22
21034,21,034,Coronango,2021,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,10,46836,4.68
21034,21,034,Coronango,2022,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,8,46836,3.75
21034,21,034,Coronango,2023,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,11,46836,5.15
21034,21,034,Coronango,2024,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,8,46836,3.75
21034,21,034,Coronango,2025,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,10,46836,4.68
21040,21,040,Cuautinchan,2015,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,10179,0
21040,21,040,Cuautinchan,2016,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,10179,0
21040,21,040,Cuautinchan,2017,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,10179,0
21040,21,040,Cuautinchan,2018,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,2,10179,0.2
21040,21,040,Cuautinchan,2019,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,2,10179,0.2
21040,21,040,Cuautinchan,2020,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,2,12340,0.25
21040,21,040,Cuautinchan,2021,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,2,12340,0.25
21040,21,040,Cuautinchan,2022,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,1,12340,0.12
21040,21,040,Cuautinchan,2023,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,2,12340,0.25
21040,21,040,Cuautinchan,2024,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,2,12340,0.25
21040,21,040,Cuautinchan,2025,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,12340,0
21041,21,041,Cuautlancingo,2015,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,112225,0
21041,21,041,Cuautlancingo,2016,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,112225,0
21041,21,041,Cuautlancingo,2017,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,112225,0
21041,21,041,Cuautlancingo,2018,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,20,112225,22.45
21041,21,041,Cuautlancingo,2019,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,33,112225,37.03
21041,21,041,Cuautlancingo,2020,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,18,137435,24.74
21041,21,041,Cuautlancingo,2021,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,22,137435,30.24
21041,21,041,Cuautlancingo,2022,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,25,137435,34.36
21041,21,041,Cuautlancingo,2023,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,32,137435,43.98
21041,21,041,Cuautlancingo,2024,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,18,137435,24.74
21041,21,041,Cuautlancingo,2025,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,16,137435,21.99
21090,21,090,Juan C. Bonilla,2015,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,21253,0
21090,21,090,Juan C. Bonilla,2016,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,21253,0
21090,21,090,Juan C. Bonilla,2017,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,21253,0
21090,21,090,Juan C. Bonilla,2018,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,2,21253,0.43
21090,21,090,Juan C. Bonilla,2019,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,1,21253,0.21
21090,21,090,Juan C. Bonilla,2020,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,1,23738,0.24
21090,21,090,Juan C. Bonilla,2021,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,23738,0
21090,21,090,Juan C. Bonilla,2022,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,4,23738,0.95
21090,21,090,Juan C. Bonilla,2023,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,6,23738,1.42
21090,21,090,Juan C. Bonilla,2024,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,4,23738,0.95
21090,21,090,Juan C. Bonilla,2025,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,3,23738,0.71
21106,21,106,Ocoyucan,2015,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,28220,0
21106,21,106,Ocoyucan,2016,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,28220,0
21106,21,106,Ocoyucan,2017,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,28220,0
21106,21,106,Ocoyucan,2018,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,28220,0
21106,21,106,Ocoyucan,2019,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,7,28220,1.98
21106,21,106,Ocoyucan,2020,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,2,42669,0.85
21106,21,106,Ocoyucan,2021,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,5,42669,2.13
21106,21,106,Ocoyucan,2022,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,5,42669,2.13
21106,21,106,Ocoyucan,2023,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,6,42669,2.56
21106,21,106,Ocoyucan,2024,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,6,42669,2.56
21106,21,106,Ocoyucan,2025,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,1,42669,0.43
21114,21,114,Puebla,2015,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,1656883,0
21114,21,114,Puebla,2016,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,1656883,0
21114,21,114,Puebla,2017,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,1656883,0
21114,21,114,Puebla,2018,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,302,1656883,5003.79
21114,21,114,Puebla,2019,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,353,1656883,5848.8
21114,21,114,Puebla,2020,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,277,1692181,4687.34
21114,21,114,Puebla,2021,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,375,1711529,6418.23
21114,21,114,Puebla,2022,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,369,1724831,6364.63
21114,21,114,Puebla,2023,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,365,1738577,6345.81
21114,21,114,Puebla,2024,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,425,1752924,7449.93
21114,21,114,Puebla,2025,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,309,1767970,5463.03
21119,21,119,San Andrés Cholula,2015,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,116347,0
21119,21,119,San Andrés Cholula,2016,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,116347,0
21119,21,119,San Andrés Cholula,2017,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,116347,0
21119,21,119,San Andrés Cholula,2018,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,27,116347,31.41
21119,21,119,San Andrés Cholula,2019,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,25,116347,29.09
21119,21,119,San Andrés Cholula,2020,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,24,154448,37.07
21119,21,119,San Andrés Cholula,2021,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,21,154448,32.43
21119,21,119,San Andrés Cholula,2022,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,22,154448,33.98
21119,21,119,San Andrés Cholula,2023,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,30,154448,46.33
21119,21,119,San Andrés Cholula,2024,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,39,154448,60.23
21119,21,119,San Andrés Cholula,2025,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,26,154448,40.16
21140,21,140,San Pedro Cholula,2015,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,129000,0
21140,21,140,San Pedro Cholula,2016,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,129000,0
21140,21,140,San Pedro Cholula,2017,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,0,129000,0
21140,21,140,San Pedro Cholula,2018,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,9,129000,11.61
21140,21,140,San Pedro Cholula,2019,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,20,129000,25.8
21140,21,140,San Pedro Cholula,2020,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,18,138433,24.92
21140,21,140,San Pedro Cholula,2021,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,21,138433,29.07
21140,21,140,San Pedro Cholula,2022,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,30,138433,41.53
21140,21,140,San Pedro Cholula,2023,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,34,138433,47.07
21140,21,140,San Pedro Cholula,2024,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,28,138433,38.76
21140,21,140,San Pedro Cholula,2025,Abuso sexual,3,Vulneración a la libertad y seguridad sexual,10,138433,13.84
21034,21,034,Coronango,2015,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,1,40949,0.41
21034,21,034,Coronango,2016,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,0,40949,0
21034,21,034,Coronango,2017,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,0,40949,0
21034,21,034,Coronango,2018,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,0,40949,0
21034,21,034,Coronango,2019,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,0,40949,0
21034,21,034,Coronango,2020,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,2,46836,0.94
21034,21,034,Coronango,2021,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,3,46836,1.41
21034,21,034,Coronango,2022,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,3,46836,1.41
21034,21,034,Coronango,2023,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,4,46836,1.87
21034,21,034,Coronango,2024,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,5,46836,2.34
21034,21,034,Coronango,2025,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,5,46836,2.34
21040,21,040,Cuautinchan,2015,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,0,10179,0
21040,21,040,Cuautinchan,2016,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,0,10179,0
21040,21,040,Cuautinchan,2017,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,0,10179,0
21040,21,040,Cuautinchan,2018,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,0,10179,0
21040,21,040,Cuautinchan,2019,Acoso sexual,3,Vulneración a la libertad y seguridad sexual,0,10179,0
