ID,Municipio,Número,Links,Descripción resumida,año,fecha,coord_x,coord_y,,,,,,
1,Acajete,7/23,"(0) Domingo 4 de junio 2023. Acajete. Dos cuerpos embolsados (una nota refiere que fueron un hombre y una mujer de entre 20 y 25 años de edad) fueron hallados en los campos de futbol de la comunidad La Magdalena Tetela en el municipio de Acajete, Puebla. Pobladores del lugar fueron quienes hoy 4 de junio por la tarde solicitaron el apoyo de las autoridades policiacas locales debido a que encontraron dos cuerpos embolsados en los campos deportivos. Trascendió que los hoy occisos tenían aspecto de migrante sin que se pudiera confirmar lo anterior ni la causa de muerte. El 27 de marzo se localizó el cuerpo de una mujer de aproximados 25 años de edad sin vida y con huellas de violencia dentro de un camino de terracería ubicado en la misma junta auxiliar de La Magdalena.
______________________
(Agrego links faltantes:)
 https://www.e-consulta.com/nota/2023-06-04/seguridad/hallan-dos-cuerpos-embolsados-en-acajete-suman-3-casos-en-puebla-en-un-dia 
https://www.unotv.com/estados/puebla/dejan-tres-cadaveres-embolsados-en-acajete-puebla/ 
https://www.milenio.com/policia/encuentran-dos-cadaveres-embolsados-en-acajete-puebla 
https://www.regionglobal.mx/2023/06/hallan-dos-cuerpos-embolsados-en-campos.html ","Los cuerpos de una mujer y de un hombre de entre 20 y 25 años de edad fueron hallados en los campos de futbol de la comunidad Magdalena Tetela en e el municipio de Acajete, Puebla.
El 27 de marzo se localizó el cuerpo sin vida de una mujer de aproximadamente la misma edad en un camino de terracería ubicado en la misma junta auxiliar de La Magdalena. ",2023,04/07/2023,-97.9473473,19.04164695,,,,,,
2,Acajete,9/23,"(1) Sábado 16 de septiembre de 2023. La mañana de este sábado fueron hallados los cuerpos de dos hombres con signos de tortura, en terrenos de cultivo pertenecientes al municipio de Acajete.
 
 El hallazgo lo hicieron pobladores de este municipio que caminaban sobre la carretera que conecta a las junta auxiliares de la Magdalena Tetela con Ocotitlán. Los cuerpos se encontraban en terrenos de cultivo a un costado de la vialidad. Esta es la segunda ocasión que aparecen cuerpos con signos de violencia en terrenos de cultivo de esta zona. El pasado 5 de septiembre fueron reportados dos hombres maniatados y con huellas de violencia, en un predio ubicado en un camino de terracería que conduce de La Magdalena Tetela, en el municipio de Acajete, Puebla hacia la comunidad de Hueyapan, del municipio de Tepeaca.. Policías municipales aseguran que los cuerpos que aparecen no son de personas originarias del municipio sino que han sido sembrados. En 2019 el Fiscal General del Estado señaló a La Magdalena Tetela como un lugar que alberga huachicoleros.
_____________________
(Agrego links faltantes:)
https://www.eluniversalpuebla.com.mx/estado/macabro-hallazgo-en-puebla-tiran-dos-cadaveres-en-acajete-con-huellas-de-tortura/ 
https://oem.com.mx/elsoldepuebla/policiaca/hallan-dos-cadaveres-con-signos-de-violencia-en-terrenos-de-cultivo-de-acajete-19203689.app.json 
http://oem.com.mx/elsoldepuebla/policiaca/balean-picadero-perteneciente-a-la-familia-de-el-grillo-19217461.app.json ","Pobladores del municipio de Acajete hallan los cuerpos de dos hombres con signos de tortura en terrenos de cultivo, a un costado de la vialidad, siendo esta la segunda ocasión que se encuentran cuerpos con signos de violencia en terrenos de cultivo de la zona. 
EL 5 de septiembre de ese mismo año fueron reportados dos hombres maniatados y con huellas de violencia en un predio ubicado en un camino de terracería en el municipio que va desde La Magdalena Tetela hasta la comuidad de Huayacapan, Tepeaca. ",2023,19/09/2023,-97.9451393,19.10664639,,,,,,
3,Atzitzintla,3/17,"(2) 9 de marzo 2017. Sicarios del grupo delictivo los Zetas fueron los responsables de levantar a tres elementos de la Fiscalía Especializada en Investigación de Delitos de Alto Impacto (FISDAI) en Atzitzintla, para después ejecutarlos y abandonar sus cuerpos en el centro de Maltrata, Veracruz, revelaron a PÁGINA NEGRA fuentes ministeriales.
 
 Según la Fiscalía General del Estado (FGE), de los tres agentes asesinados uno fungía como Jefe de Grupo de la FISDAI y era reconocido por ser el encargado de coordinar los operativos para realizar detenciones importantes. Sin embargo, las identidades no han sido confirmadas por la dependencia.
 
 De acuerdo a la Fiscalía de Veracruz, poco después del mediodía Puebla les informó que tres de sus elementos habían sido raptados en Atzitzintla, Puebla, en una camioneta Dodge Ram color rojo con placas FK11266, por lo que solicitaron apoyo para encontrarlos.
______________________
(Agrego links faltantes:)
https://www.periodicocentral.mx/2017/pagina-negra/delincuencia/item/3850-en-operativo-anti-secuestro-zetas-levantan-y-matan-a-jefe-de-grupo-de-la-fisdai 
https://www.sinembargo.mx/3138227/policias-antisecuestros-son-raptados-en-puebla-y-horas-despues-sus-cuerpos-son-abandonados-en-veracruz/ ","Tres elementos de la Fiscalía Especializada en Investigación de Delitos de Alo Impacto (FISDAI) fueron levantados y porteriormente ejecutados y abandonados en el centro de Maltrata, Veracruz, por sicarios del grupo delictivo los Zetas. 
",2017,09/03/2017,-97.31149181,18.85333986,,,,,,
4,Maltrata,3/17,"Alrededor de las tres y media de la tarde fue localizada dicho vehículo en la calle 5 de Febrero, del municipio veracruzano de Maltrata. En la batea del vehículo estaban los cadáveres de los elementos, los cuales fueron tapados con carrizos.
 
 La información de la Fiscalía de Veracruz subraya que los tres miembros de las FISDAI fueron asesinados en la población de San José Cuyachapa del municipio de Esperanza, perteneciente al estado de Puebla, ya que en esa localidad encontraron las placas de la camioneta, pertenencias de los agentes y la tierra removida con manchas de sangre. Por este hecho, la noche del jueves 9 de marzo fue detenido, junto con otras 87 personas, entre regidores, policías y menores de edad (de los cuales más de 20 fueron liberados días después por falta de pruebas) el Alcalde de Atzitzintla, José Isaías Velázquez, junto con otras 87 personas en el operativo ""Encrucijada"" (que tuvo acciones en los municipios de Atzitzintla, Esperanza y Palmar de Bravo), acusado de ordenar que cinco de sus policías municipales entregaran a 3 elementos de la Fiscalía Especializada en Investigación de Secuestros y Delitos de Alto Impacto (FISDAI), quienes después fueron ejecutados en Esperanza. Leer Más: https://www.periodicocentral.mx/2017/pagina-negra/delincuencia/item/3850-en-operativo-anti-secuestro-zetas-levantan-y-matan-a-jefe-de-grupo-de-la-fisdai#ixzz8ymq0mPxu","Alrededor de las 3 de la tarde se localizo en la calle 5 de Febrero, en Maltrata, Veracruz, el vehículo en el que los asesinados fueron raptados, donde se hallaron los cadáveres en la batea del vehículo. 
Según la Fiscalía de Veracruz, fueron asesinados en la población de San Jose Cuyachapa, Esperanza, Puebla, pues en esta localidad se encontraron las placas de la camioneta, pertenencias de los agentes y tierra removida con manchas de sangre.  ",2017,09/03/2017,-97.26776035,18.81193673,,,,,,
5,Amozoc,7/18,"(3) La tarde del 15 de junio de 2018, seis policías municipales de Amozoc de Mota fueron alertados de una toma clandestina, así como del robo del combustible en la colonia Signoret. En atención al llamado de auxilio, los oficiales se trasladaron al punto, donde sujetos desconocidos (posiblemente ligados al robo de gas LP)Las primeras investigaciones revelan que se recibió una llamada para reportar una riña en la colonia Signoret. Los uniformados se dirigieron al lugar y se dieron cuenta de que se trataba de una falsa alarma, segundos después vieron en la zona una camioneta negra, cuyos ocupantes les parecieron sospechosos.
 
 Una de las versiones señala que la policía detuvo la unidad para revisarla y cuando la inspeccionaron, los delincuentes detonaron sus armas de fuego y los asesinaron.
 
 Otro informe —de fuentes policiacas— refiere que los agentes fueron sometidos, bajados de la patrulla, desarmados y trasladados en dos camionetas hasta el Carril de San Cristóbal, en las inmediaciones de la autopista Puebla-Orizaba.
_____________________
(Agrego enlaces faltantes:)
https://www.reporteindigo.com/opinion/Enfrentamiento-con-huachicoleros-en-Puebla-deja-6-policias-muertos-20180615-0063.html 
https://www.elhorizonte.mx/nacional/mueren-seis-policias-en-puebla-tras-enfrentamiento-con-huachicoleros/2210395 
https://www.sinembargo.mx/3429764/caen-mandos-por-el-asesinato-de-6-policias-en-otro-capitulo-del-puebla-heredado-por-moreno-valle/ ","Seis policías perdieron la vida tras recibir una falsa alarma de robo de hidrocarburos en la colonia Signoret.
Ahí fueron asesinados por sujetos desconocidos que se encontraban en una camioneta negra. 
Una versión señala que la policía detuvo la unidad para inspeccionarla, pero que los delicuentes aprovecharon para detonar sus armas de fuego, asesinándolos.
Otro informe de fueentes policiacas refiere que los agentes fueron sometidos, bajados de la patrulla, desarmados y trasladados en dos cammionetas hasta el carril de San Cristóbal, en la autopista Puebla-Orizaba.",2018,15/07/2018,-98.09097,19.053662,,,,,,
6,Amozoc,7/19,"(3a) Los cuerpos de los seis agentes quedaron a la orilla de la carretera estatal, con sus uniformes y chalecos antibalas.
 
 A unos cuantos metros de donde estaban los agentes ultimados, las autoridades localizaron una toma clandestina en un ducto de Pemex. los obligaron a formarse en fila, pero, además, a hincarse; una vez sometidos, los uniformados municipales, cinco hombres y una mujer, fueron asesinados con el tiro de gracia. Para el 16 de junio de ese mismo año, el entonces titular de la Secretaría de Seguridad Pública Estatal, Jesús Morales, dio a conocer que, tras las primeras investigaciones, dos personas habían sido detenidas por su probable participación en los hechos, tratándose de Javier y Alfredo N, quienes fueron llevados a audiencia el 18 de junio. Aquel día, el agente del Ministerio Público sustentó la existencia de denuncias y quejas que días antes del crimen, los oficiales asesinados presentaron ante la Contraloría Municipal, respecto a la presunta protección que sus jefes (Javier N, y Alfredo N) les brindaban a los ladrones de combustible, así como diversas irregularidades. 
 
 https://oem.com.mx/elsoldepuebla/policiaca/exmandos-policiacos-de-amozoc-relacionados-con-emboscada-y-asesinato-de-seis-policias-encaran-proceso-en-libertad-19182194 https://www.eluniversal.com.mx/estados/huachicoleros-matan-6-policias-en-amozoc/                                                                                                                              https://www.proceso.com.mx/nacional/estados/2018/6/15/asesinan-policias-en-enfrentamiento-contra-huachicoleros-en-amozoc-puebla-206916.html","Posteriormente, a pocos metros del lugar de los hechos se encontró una toma clandestina en donde se estaba extrayendo combustible de manera ilícita cuando llegaron os uniformados al lugar. ",2018,15/07/2018,-98.09104083,19.06030024,,,,,,
7,Amozoc,10/23,"(4) 25 de octubre 2023. cuatro cuerpos, la mayoría desmembrados, los que abandonaron en 10 bolsas para basura, en los alrededores del panteón de San Salvador Chachapa, junta auxiliar del municipio de Amozoc de Mota; y fueron descubiertos durante la madrugada-mañana de este miércoles. 
 
 https://oem.com.mx/elsoldepuebla/policiaca/masacre-en-amozoc-encuentran-entre-5-y-8-cuerpos-en-bolsas-de-basura-19213233 
 
 El fiscal general del estado, Gilberto Higuera Bernal, informó que los restos humanos que fueron abandonados ayer en 11 bolsas de basura, localizadas en los alrededores del panteón de la Junta Auxiliar de Chachapa, municipio de Amozoc de Mota en el municipio de Amozoc corresponden a cuatro personas desmembradas. En rueda de prensa, señaló que las víctimas aún no han sido identificadas y que, hasta ahora, no se confirma que esta masacre esté relacionada con la ejecución de siete personas en un “picadero” de la junta auxiliar de Canoa ocurrida el lunes y con la aparición de otros dos cuerpos en la carretera a Valsequillo. Esta múltiple ejecución se cree que estaría relacionada con el ataque directo que perpetuó un grupo armado en contra de un “picadero” de San Miguel Canoa la tarde del pasado lunes, el cual tuvo como resultado la muerte de siete personas, seis de ellas en el lugar de los hechos y una más en el hospital cuando recibía atención médica.La cartulina colocada en las bolsas decía “Por traidores” y atribuía los hechos a la banda de “los González y Tepeacas Unidos” que también se menciona como presuntos ejecutores de las 6 personas que se encontraban en el centro de narcomenudeo y consumo de Canoa. 
 
 https://www.proceso.com.mx/nacional/2023/10/25/hallan-10-bolsas-con-restos-humanos-en-amozoc-serian-entre-cinco-ocho-cuerpos-317371.html https://www.proceso.com.mx/nacional/2023/10/23/hombres-armados-irrumpen-en-un-picadero-en-canoa-puebla-matan-seis-personas-video-317255.html","Abandonaron en 10 bolsas de basura en los alrededores del panteón San Salvador Chachapa cuatro cuerpos desmembrados. El fiscal general del estado. Gilberto Higuera Bernal señaló en una rueda de prensa que las víctimas no habían sido identificadas, y que hasta ese momento no se confirma que esa masacre esté relacionada con la ejecución de siete personas en un “picadero” de la junta auxiliar de Canoa ocurrida días antes y con la aparición de otros dos cuerpos en la carretera a Valsequillo. Se cree que esta múltiple ejecucuión está relacionada con el ataque directo en contra de un ""picadero"" de San Miguel Canoa, que tuvo coomo resultado la muerte de seis personas.",2023,25/10/2023,-98.104717,19.052221,,,,,,
8,Amozoc,7/23,"(5) 23 de junio 2023. Un comando irrumpió la madrugada de este viernes en un bar ubicado en la carretera federal Puebla Tehuacán, en el municipio de Amozoc, conurbado con esta capital, donde mató a cuatro personas e hirió a otras once, entre ellas tres policías. De acuerdo con los reportes policíacos, los hechos se registraron alrededor de las 4:30 de la madrugada cuando los sujetos que portaban armas largas y se trasladaban en cuatro vehículos irrumpieron en el bar y gritaron: “¡somos de las cuatro letras!”, se presume que en referencia al CJNG.
 
 Luego de rafaguear a clientes y trabajadores de ese lugar, los delincuentes huyeron, pero se toparon con una patrulla policíaca contra la cual igual dispararon. En el bar tres personas quedaron muertas, mientras que otras ocho fueron heridas, además los delincuentes lesionaron a tres policías y mataron a un ""viene, viene"" que estaba en la calle y fue alcanzado por las balas, y luego atropellado por el grupo armado. 
 
 https://www.proceso.com.mx/nacional/2023/6/23/comando-irrumpe-en-un-bar-de-amozoc-ultima-cuatro-hombres-hiere-11-mas-video-309354.html","Un comandante asesinó a tres personas en el bar junto con ocho heridos, al igual que los policías. Una persona más fue asesinada luego de ser atropellado por el grupo armado afuera del establecimiento. ando asesinó a cuatro personas e hirió otras once, entre ellas 3 policías, en un bar en la carretera federal Puebla-Tehuacán. Según reportes policiacos, los hechos tomaron lugar alrededor de las 4:30 de la madrugada, cuando los sujetos irrumpieron en el bar. Los delincuentes huyeron, pero se toparon con una patrulla policiaca contra la que dispararon. 
",2023,23/07/2023,-98.10579,19.046097,,,,,,
9,Amozoc,10/19,"(6) 17 de octubre 2019. Un grupo de sujetos encapuchados y con armas largas disparó contra la multitud y dejó un saldo de tres muertos y al menos ocho heridos, esta madrugada en un baile sonidero en la colonia Santa Margarita en el municipio de Amozoc de Mota. Se llevaba a cabo la feria de la colonia y alrededor de las 02:00 horas cuando aún amenizaba el grupo Samurai, llegaron los sujetos que sin más atacaron directamente hacia un grupo de personas. Alrededor de la 1:00 de la mañana varios hombres armados irrumpieron, aparentemente, en busca de los integrantes de la banda ""Los Greñas"".Los agresores huyeron y una persona quedó sin vida bajo la carpa instalada en las calles San Alfonso entre Teresita y Capulín. Policías municipales de Amozoc y paramédicos de Cruz auxiliaron a 10 heridos de bala. La colonia Santa Margarita se encuentra en una indefinición respecto a si pertenece a Pueba o a Amozoc. Tras una consulta realizada en marzo de 2015, quedó definida la demarcación territorial entre Puebla y Amozoc, por lo que el primer municipio se anexaron 13 colonias y nueve al segundo. En el caso de Santa Margarita quedó dentro de la capital poblana. Por ello Amozoc se deslindó de los hechos. De acuerdo con la consulta y el acuerdo intermunicipal, Puebla queda con las colonias Santa María Xonacatepec, Ampliación Guadalupe Xonacatepec, Lumbreras de Amalucan, Amaluquilla, Bosques del Pilar, Primero de Mayo, Del Valle, Santa Margarita, Haras, El Paraíso, Bosques de Amalucan primera sección y Lomas Flor del Bosque. Por su parte, al municipio de Amozoc le corresponden nueve colonias: Azteca, Unidad Habitacional Bugambilias, Parque Industrial Chachapa, Artículo 123, Nuevo México, Fraccionamiento Parcial Haras, Casa Blanca, Flor del Bosque y Ampliación San Lorenzo Chachapa. La finalidad de la consulta ciudadana fue para brindar certeza jurídica a los cerca de 60 mil habitantes de 22 colonias de la zona limítrofe. Sin embargo, sigue habiendo ambiguedad lo que ha derivado en una débil presencia de fuerzas de seguridad en la zona y poca atención en la prevención de delitos.
 
 https://oem.com.mx/elsoldepuebla/policiaca/video-baile-sonidero-se-tine-de-sangre-en-amozoc-comando-mata-a-tres-puebla-muertos-atentado-grupo-samurai-ataque-directo-ejecucion-homicidio-colonia-santa-margarita-grupo-armado-13452166 https://oem.com.mx/elsoldepuebla/local/desconocen-puebla-y-amozoc-pertenencia-de-zona-de-balacera-en-baile-sonidero-19489023","Alrededor de las 2:00 hrs un grupo de sujetos encapuchados deja tres muertos y al menos ocho heridos en un baile sonidero en la colonia Santa Margarita. 
Aproximadamente una hora antes irrumpieron hombres armados en busca de la banda ""Los Greñas"". 
Se auxiliaron a diez heridos de bala. Amozoc se deslindó de los hechos debido a  la colonia quedó anexada en Puebla tras una consulta en 2015.
Esto dejó ambiguedad más que certeza jurídica, derivando en una débil presencia de fuerzas de seguridad en la zona, así como poca atención en la prevención de delitos.",2019,17/10/2019,-98.122823,19.048656,,,,,,
10,Atzitzintla,4/18,"(7) 7 de abril 2018. Cinco personas ejecutadas fueron localizadas la mañana de este domingo en inmediaciones del municipio de Atzitzintla, a la altura del paraje La Quebrada. Los cuerpos presentan huellas de violencia y algunos de ellos fueron hallados semidesnudos. Trascendió que los ahora occisos habrían sido asesinados en otra parte y únicamente sus cuerpos fueron tirados en este lugar. 
 
 https://oem.com.mx/elsoldepuebla/local/ejecutan-a-cinco-los-encuentran-en-paraje-de-atzitzintla-puebla-13479333"," A la altura del paraje ""La Quebrada1 se hallaron cinco personas que fueron ejecutadas, pues los cuerpos presentan huellas de violencia y algunos fueron hallados semidesnudos. Se cree que fueron asesinados en otra parte y llevados a ese lugar posteriormente. ",2018,07/04/2018,-97.322875,18.896745,,,,,,
