CASO,Unnamed: 1,FECHA DEL HALLAZGO,AÑO,MUNUCUPIO,ZONA,Coord_Y,Coord_X,CUERPOS ENCONTRADOS,MODALIDAD DE FOSA,CARACTERÍSTICAS DEL SITIO DE HALLAZGO,QUIÉN HIZO EL HALLAZGO,DESCRIPCIÓN,Unnamed: 13
1.0,Ubicación aproximada,2012-01-27 00:00:00,2012.0,Tzicatlacoyan,"Calle 16 de septiembre. en una construcción abandonada en San Antonio de Juárez, perteneciente al municipio de Tzicatlacoyan, cerca de Tecali de Herrera.",18.7997633,97.9877249,"3 mujeres de 26, 6 y 4 años",Sendero rural,1 fosa en sendero en zona rural,Autoridades,"En la calle 16 de septiembre estaban enterrados los cuerpos de tres mujeres: Irma Flores, junto con sus hijas Abril, de seis años, y Brisa, de dos. El asesinato fue cometido el 12 de julio de 2011 por Alan Aparicio Pérez en complicidad de Socorro Pardo Cruz y Eduardo Jiménez, alias El Chino, un joven de 17 años originario de Chiapas. El triple homicidio es conocido como el caso de “El Halcón”, apodo de Alan: él tenía entonces sólo 17 años y grabó los asesinatos con su teléfono celular. El 2 de febrero de 2012 los victimarios fueron aprehendidos y presentados por las autoridades policiacas.",https://www.ladobe.com.mx/2015/05/un-halcon-frente-a-la-camara/                           https://www.infobae.com/mexico/2023/06/09/el-caso-del-halcon-el-amante-del-cine-gore-que-se-inspiro-en-peliculas-para-grabar-sus-crimenes-en-mexico/
2.0,,2013-05-01 00:00:00,2013.0,Santiago Miahuatlán,"Calle seis poniente No. 18, entre 11 y 13 Norte. Casa propiedad de la familia Medina Ambrocio",18.5537268838963,-97.4466527892677,3 hombres y 1 mujer,Casa urbana,1 fosa en terreno de una casa particular,Autoridades,"Se localizaron cuatro cuerpos (tres hombres y una mujer) enterrados. Dos cadáveres no fueron identificados; sólo se supo que el tercero era una mujer que había sido reportada como desaparecida, empleada doméstica en Miahuatlán. estaban en el fondo de la fosa, encima hallaron escombros y sus pertenencias personales. El terreno es propiedad de una mujer que fue detenida y quien sirvió para el esclarecimiento de secuestros donde las victimas fueron asesinadas. Uno de los cuerpos encontrados respondía al nombre de Odilón Trujillo Torres, de 35 años, hijo del precandidato por el PAN en Ajalpan, Odilón Trujillo Vallejo, quien fue secuestrado en noviembre de 2012. Por los hechos fueron detenidos dos varones y una mujer, quien responde al nombre de Lorena Santoyo Nolasco y además de rentar el domicilio donde se encontraron los cuerpos, se encargaba de la limpieza de la iglesia. ",https://elpopular.mx/secciones/seguridad/2013/05/02/hallan-fosa-clandestina
3.0,Ubicación aproximada,2014-09-05 00:00:00,2014.0,Venustiano Carranza,"Rancho Santa María, se ubica en una de las laterales a la altura del Kilómetro 187/188 de la autopista Villa Lázaro Cárdenas–Venustiano Carranza",20.4372511752228,-97.8325075012904,"3 hombres de 21, 23 y 24 años",Campo de cultivo,1 fosa en terreno rural,Autoridades,"Los hermanos Gerardo y Daniel Téllez Cortés, junto con Daniel Díaz Téllez, desaparecieron el 5 de septiembre de 2014. Los tres jóvenes, de 21, 24 y 23 años de edad, respectivamente, eran del municipio de Álamo Temapache, Veracruz, colindante con Puebla. Daniel vendía naranja y su hermano estudiaba ingeniería civil. Su amigo Daniel Díaz se dedicaba al campo. Estaban enterrados en una fosa clandestina, en un hoyo de cuatro por dos, ubicado en el Rancho Santa María, del municipio de Venustiano Carranza. Plataforma Ciudadana de fosas reporta que en este municipio se han hallado 3 fosas. ",https://www.ladobe.com.mx/2016/04/francisco-z-mena-el-municipio-donde-mas-mujeres-desaparecieron-en-2015/        https://intoleranciadiario.com/articles/inseguridad/2014/09/12/124879-en-venustiano-carranza-encuentran-fosa-clandestina.html
4.0,,2017-03-03 00:00:00,2017.0,Acatzingo," kilómetro 2 de la carretera estatal Acatzingo, en el barrio de Tetela, a unos 500 metros de la cinta asfáltica, junta auxiliar de San Sebastián Teteles",19.018644,97.791734,2 hombres,Campo de cultivo,1 fosa en terrenos de cultivo,Poblador,"A la altura del kilómetro 2 de la carretera estatal Acatzingo, en el barrio de Tetela, a unos 500 metros de la cinta asfáltica fue encontrada una fosa con dos cuerpos. Uno fue identificado como Antonio Espinoza Hernández, de 28 años de edad y originario de Tepeaca. El asesinato fue relacionado presuntamente con el robo de combustible. De acuerdo con las autoridades, ""la Junta Auxiliar de San Sebastián Teteles ha sido escenario de agresiones por parte de los pobladores y de elementos de la Policía Auxiliar, en contra de elementos de la Policía del Estado y de corporaciones federales, siendo los primeros quienes han protegido a presuntos ""huachicoleros"" y han impedido el decomiso de camionetas cargadas con hidrocarburos robados.",https://www.ladobe.com.mx/2017/03/gasolina-y-poder-politico-en-el-triangulo-rojo-un-binomio-importante/
5.0,Ubicación aproximada,2017-11-24 00:00:00,2017.0,Puebla,Junta auxiliar La Resurrección,19.096783,-98.140762,1 Hombre,Campo de cultivo,1 fosa en terrenos de cultivo,Pobladores,El cadaver fue identificado como Natividad Gómez Calvario de 85 años de edad,
6.0,,2017-11-29 00:00:00,2017.0,San Salvador Huixcolotla," En el interior de dos pozos en la zona de Llano grande, en un paraje ubicado a unos 200 metros de la carretera estatal Huixcolotla- Acatzingo entre los municipios de Reyes de Juárez y Huixcolotla. ",18.946459,-97.770962,3 hombres,Pozo para riego,2 fosas en 2 pozos en zona rural,Familiares. Colectivo La Voz de los desaparecidos,"El 22 de noviembre se reportó la desaparición de un joven de nombre Javier Aquino Pérez, de 25 años de edad, originario de Acatzingo, de oficio mototaxista y supuestamente también dedicado al huachicoleo. Días después su familia organizó brigadas con autoridades y conocidos y el 29 de noviembre del 2017, se enteraron que había una zona de pozos en Huixcolotla y llegaron a “Llano Grande” para buscar el cuerpo de Javier.
Descubrieron que un pozo desprendía un fuerte olor fétido por lo que llamaron a las autoridades. Cuando La FGE, Bomberos de Tecamachalco, Protección Civil y otras corporaciones, realizaron la inspección y extracción de lo que se creía un cuerpo, se percataron que otro pozo cercano también desprendía olores putrefactos. En ese entonces en total localizaron tres cadáveres.
Según reportes periodísticos, de noviembre del 2017 a febrero del 2018, fueron encontrados 6 cadáveres en total, entre los que se presume había una mujer. Según la fuente, en aquel entonces los rescatistas de diferentes corporaciones informaron a la Fiscalía General del Estado (FGE), que había más cadáveres en el interior pero en tramos de difícil acceso. También informaron que los pozos estaban conectados unos a otros en la parte más profunda; incluso los rescatistas aseguraron que se necesitaba equipo especializado para extraerlos de zonas de más difícil acceso.
la Fiscalía General del Estado habría dado la orden a las corporaciones de no mencionar nada sobre lo que habían visto y para evitar una costosa inversión en la extracción y rescate de los cuerpos, ya que se contabilizaron que había aproximadamente 60 pozos. Desde entonces ninguna autoridad ha realizado más investigaciones en el sitio. Según los vecinos de la población los grupos del crimen organizado allí arrojaban los cuerpos de personas ejecutadas.","https://retodiario.com/policia/2017/11/30/hallan-cuerpos-de-tres-hombres-al-interior-de-pozos-en-huixcolotla/                                                                               Encuentran otro cuerpo putrefacto en pozo seco de Huixcolotla - El Sol de Puebla | Noticias Locales, Policiacas, sobre México, Puebla y el Mundo"
7.0,,2018-01-22 00:00:00,2018.0,San Salvador Huixcolotla,En el interior de un pozo a unos metros del hallazgo del 29 de noviembre de 2017,18.946459,-97.770962,2 hombres,Pozo para riego,1 pozo en zona rural,Pobladores,"los cuerpos de Carlos y Josué ""N"", de 33 y 34 años de edad, respectivamente, oriundos de la capital poblana y del municipio de Cuautlancingo, fueron encontrados por vecinos al interior de un pozo seco a escasos metros del primer hallazgo. Las víctimas fueron reportadas como desaparecidos en octubre del 2017 en el municipio de Acatzingo, luego de que fueran acusados por el supuesto robo de un teléfono celular a una mujer. Tras ser liberados por las autoridades, ambas víctimas sufrieron un ""levantón"". Cuatro meses después los cadáveres fueron localizados envueltos en cobijas.",https://oem.com.mx/elsoldepuebla/local/encuentran-otro-cuerpo-putrefacto-en-pozo-seco-de-huixcolotla-13459731?token=537617505
8.0,Ubicación aproximada,2018-01-23 00:00:00,2018.0,Los Reyes de Juárez,Cerca de la carretera estatal que comunica el municipio de Huixcolotla y Acatzingo,18.932709079245,-97.7709479897005,2 hombres,Terreno baldío urbano,1 fosa,Pobladores,Pobladores reportaron al 911 que detectaron los cuerpos cuando iban pasando por unos terrenos baldíos que se ubican cerca de la carretera estatal que comunica el municipio de Huixcolotla y Acatzingo,Hallan cadáveres putrefactos en Los Reyes de Juárez - Diario 24 Horas Puebla
9.0,Ubicación aproximada,2018-02-28 00:00:00,2018.0,San Salvador Huixcolotla,"En medio de terrenos baldíos de este municipio, cerca de la carretera estatal Acatzingo-Huixcolotla",18.932709079245,-97.7709479897005,1 (restos humanos incompletos),Pozo para riego,1 fosa. Pozo en zona rural,Pobladores,"Se reportó que una banda de secuestradores liderada por Marco Antonio “N” ""El Marco"", de 40 años, originario de Ciudad Serdán y encargado de la Dirección de Seguridad Pública de esa localidad de 2011 a 2014 en Palmar de Bravo, la que habría enterrado los cuerpos de sus víctimas. Se mencionó que el 22 de enero pasado se encontraron otros dos cadáveres maniatados en uno de los pozos de la zona (no se ha confirmado este hecho)",Cae banda de secuestradores en Puebla; era dirigida por exdirector de Policía | Reporte18
10.0,Ubicación aproximada,2018-06-07 00:00:00,2018.0,Tecamachalco,"Junta Auxiliar Lomas de Romero, en el camino que conecta con la junta auxiliar de Lomas de Santa Cruz, muy cerca del kínder",18.9140220165155,-97.7165542913417,1 hombre,Campo de cultivo,1 fosa. Campos de cultivo,Pobladores,"Se identificó como un comerciante de 57 años de edad, quien fue privado de su libertad cuando se dirigía a la Central de Abasto de Huixcolotla. Los integrantes de la banda de secuesradores, quienes cobraron el rescate, fueron detenidos. Pobladores de la zona dijeron que en el lugar han aventado cadáveres de personas ejecutadas en los últimos meses. De acuerdo con reportes de pobladores, en terrenos de esta junta auxiliar se han localizado cuerpos con signos de violencia a lo largo de los años",
